epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,526.474,1.49055,1.03609,1.55164,0.92581,0.56771,0.61041,0.35913,1.50065,0.86275,1.56737,0.00119699,0.00119699,0.00119699
43,537.502,1.49875,1.06053,1.55719,0.94792,0.56061,0.62765,0.36942,1.41509,0.8582,1.5413,0.00119133,0.00119133,0.00119133
44,548.466,1.50603,1.05879,1.56151,0.92897,0.54368,0.64328,0.38543,1.41891,0.90823,1.52581,0.00118567,0.00118567,0.00118567
45,559.347,1.48655,1.03354,1.53014,0.92615,0.55866,0.67046,0.39015,1.46801,0.88295,1.54845,0.00118001,0.00118001,0.00118001
46,571.084,1.47048,1.0051,1.5356,0.93974,0.55837,0.6084,0.33534,1.60344,0.90545,1.65664,0.00117435,0.00117435,0.00117435
47,582.054,1.4617,1.01066,1.53485,0.91448,0.56695,0.63236,0.37378,1.46091,0.88267,1.56251,0.00116869,0.00116869,0.00116869
48,593.017,1.46705,1.01155,1.52966,0.92619,0.56268,0.60794,0.35242,1.49506,0.86789,1.55969,0.00116303,0.00116303,0.00116303
49,604.013,1.49661,1.01442,1.53381,0.93015,0.5655,0.63006,0.36655,1.48642,0.92368,1.5591,0.00115738,0.00115738,0.00115738
50,615.051,1.46639,1.00524,1.52338,0.93186,0.54811,0.59668,0.30073,1.7498,0.99225,1.73079,0.00115172,0.00115172,0.00115172
51,626.22,1.43607,0.97707,1.48758,0.94899,0.54364,0.718,0.40817,1.47158,0.86379,1.55055,0.00114606,0.00114606,0.00114606
52,637.195,1.45533,1.00041,1.50107,0.94482,0.57679,0.62651,0.37237,1.40067,0.86608,1.48969,0.0011404,0.0011404,0.0011404
53,648.213,1.43588,0.98354,1.50431,0.94153,0.53914,0.7177,0.41114,1.42565,0.83068,1.52556,0.00113474,0.00113474,0.00113474
54,659.17,1.43292,0.97367,1.4991,0.95206,0.57069,0.62878,0.38128,1.43585,0.82292,1.52526,0.00112908,0.00112908,0.00112908
55,671.663,1.43096,0.96405,1.50499,0.93928,0.57683,0.72691,0.39063,1.4265,0.82541,1.54141,0.00112342,0.00112342,0.00112342
56,686.343,1.43503,0.97255,1.50154,0.93106,0.56396,0.62532,0.36958,1.41289,0.83365,1.5171,0.00111776,0.00111776,0.00111776
57,702.452,1.43363,0.97792,1.49989,0.94225,0.57471,0.6752,0.39059,1.36149,0.82549,1.49553,0.0011121,0.0011121,0.0011121
58,717.732,1.39848,0.9429,1.47387,0.93965,0.59194,0.63,0.36777,1.42399,0.77802,1.5128,0.00110645,0.00110645,0.00110645
59,733.167,1.42157,0.94685,1.48234,0.94174,0.56263,0.71991,0.41359,1.41559,0.82967,1.5162,0.00110079,0.00110079,0.00110079
