epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,581.459,1.48357,1.07665,1.5501,0.88908,0.52407,0.58045,0.32506,1.58789,1.02531,1.69718,0.00119699,0.00119699,0.00119699
43,594.008,1.47771,1.09447,1.55855,0.91218,0.5391,0.5976,0.35322,1.42886,0.93644,1.5704,0.00119133,0.00119133,0.00119133
44,606.629,1.49312,1.09249,1.57406,0.92185,0.51506,0.57783,0.33445,1.47655,1.0177,1.61052,0.00118567,0.00118567,0.00118567
45,621.635,1.46321,1.05484,1.5215,0.94215,0.53727,0.59461,0.30755,1.6551,0.96324,1.73908,0.00118001,0.00118001,0.00118001
46,636.471,1.46163,1.0306,1.53259,0.93648,0.52759,0.59902,0.34509,1.48193,0.8958,1.60726,0.00117435,0.00117435,0.00117435
47,651.425,1.45518,1.03074,1.53491,0.91562,0.52294,0.59827,0.34306,1.52509,0.90839,1.63391,0.00116869,0.00116869,0.00116869
48,666.226,1.45326,1.0284,1.53049,0.9164,0.54516,0.61895,0.3539,1.5424,0.91154,1.63462,0.00116303,0.00116303,0.00116303
49,681.018,1.44337,1.02294,1.5104,0.91211,0.52656,0.66905,0.401,1.49954,0.92911,1.59085,0.00115738,0.00115738,0.00115738
50,696.363,1.46422,1.02539,1.53163,0.90348,0.55003,0.62269,0.36899,1.48415,0.90661,1.63451,0.00115172,0.00115172,0.00115172
51,712.59,1.43463,0.99599,1.50532,0.92159,0.55888,0.60205,0.35595,1.46006,0.89149,1.61529,0.00114606,0.00114606,0.00114606
52,727.314,1.43494,1.01702,1.49518,0.91534,0.56032,0.60203,0.35923,1.44558,0.88729,1.58185,0.0011404,0.0011404,0.0011404
53,741.969,1.42977,1.01728,1.51137,0.93099,0.54994,0.60651,0.3529,1.45062,0.83163,1.56155,0.00113474,0.00113474,0.00113474
54,756.562,1.41942,0.98621,1.48991,0.9414,0.53415,0.60023,0.36245,1.43014,0.85983,1.55137,0.00112908,0.00112908,0.00112908
55,771.154,1.41167,0.98017,1.49403,0.92617,0.5502,0.61462,0.37423,1.39145,0.86686,1.53298,0.00112342,0.00112342,0.00112342
56,785.713,1.42929,0.98889,1.51073,0.93496,0.55174,0.61957,0.37036,1.42902,0.81087,1.56793,0.00111776,0.00111776,0.00111776
57,800.259,1.41765,0.98117,1.49321,0.92232,0.56144,0.61947,0.36748,1.41543,0.82583,1.564,0.0011121,0.0011121,0.0011121
58,815.109,1.38616,0.96072,1.4638,0.94537,0.54164,0.64403,0.39087,1.49742,0.8344,1.59008,0.00110645,0.00110645,0.00110645
59,829.866,1.42303,0.97821,1.49121,0.92582,0.56663,0.62533,0.38724,1.39435,0.81921,1.55853,0.00110079,0.00110079,0.00110079
60,843.059,1.3929,0.95371,1.48573,0.92541,0.56299,0.63631,0.38866,1.38995,0.81905,1.54786,0.00109513,0.00109513,0.00109513
61,854.093,1.40397,0.93968,1.46352,0.92729,0.53859,0.61849,0.37138,1.45318,0.88061,1.56254,0.00108947,0.00108947,0.00108947
62,863.668,1.36827,0.9622,1.46266,0.91575,0.56341,0.60868,0.37364,1.37057,0.80003,1.53146,0.00108381,0.00108381,0.00108381
63,873.313,1.39084,0.94022,1.46791,0.93608,0.56206,0.6227,0.38429,1.36512,0.81196,1.50589,0.00107815,0.00107815,0.00107815
64,883.011,1.35472,0.92287,1.45129,0.90903,0.50912,0.5949,0.35195,1.40638,0.94056,1.52325,0.00107249,0.00107249,0.00107249
65,892.978,1.37052,0.9356,1.44798,0.93673,0.55837,0.63378,0.38729,1.38185,0.78719,1.53278,0.00106683,0.00106683,0.00106683
66,903.055,1.37143,0.93689,1.45519,0.92755,0.54572,0.5976,0.32768,1.6376,0.9021,1.74954,0.00106118,0.00106118,0.00106118
67,913.488,1.39983,0.89866,1.46864,0.93933,0.57648,0.62427,0.37774,1.40043,0.80697,1.53244,0.00105552,0.00105552,0.00105552
68,925.221,1.37427,0.91234,1.44657,0.95168,0.56156,0.63931,0.39048,1.40385,0.80256,1.51308,0.00104986,0.00104986,0.00104986
69,938.069,1.35532,0.92177,1.4417,0.92354,0.57615,0.62525,0.37512,1.4495,0.85327,1.60017,0.0010442,0.0010442,0.0010442
70,951.75,1.35133,0.92683,1.4477,0.7374,0.72267,0.72494,0.43574,1.48841,0.82321,1.5775,0.00103854,0.00103854,0.00103854
71,965.947,1.34455,0.90058,1.43261,0.93888,0.58128,0.72949,0.47793,1.38712,0.77975,1.51946,0.00103288,0.00103288,0.00103288
72,982.029,1.33205,0.88273,1.42182,0.67753,0.73083,0.73074,0.45423,1.49467,0.79808,1.60578,0.00102722,0.00102722,0.00102722
73,997.32,1.3599,0.90521,1.44971,0.94658,0.56156,0.6413,0.3977,1.35369,0.77072,1.50793,0.00102156,0.00102156,0.00102156
74,1010.48,1.3343,0.90599,1.41988,0.94127,0.56652,0.73054,0.42669,1.46391,0.81401,1.58547,0.0010159,0.0010159,0.0010159
75,1023.49,1.31721,0.87974,1.41484,0.94726,0.5793,0.65597,0.39896,1.42539,0.78998,1.56381,0.00101025,0.00101025,0.00101025
76,1036.44,1.31618,0.85626,1.41641,0.94311,0.56821,0.624,0.38436,1.39513,0.77117,1.53853,0.00100459,0.00100459,0.00100459
77,1049.43,1.34178,0.8903,1.4272,0.93164,0.56848,0.64775,0.392,1.44154,0.80127,1.57793,0.000998928,0.000998928,0.000998928
78,1062.42,1.32052,0.87449,1.41628,0.9279,0.56844,0.67198,0.42163,1.35316,0.81376,1.51503,0.000993269,0.000993269,0.000993269
79,1075.42,1.30994,0.88167,1.40939,0.93253,0.57846,0.63646,0.39181,1.39723,0.75675,1.51777,0.00098761,0.00098761,0.00098761
80,1088.58,1.32713,0.85401,1.41945,0.94494,0.59299,0.62562,0.38567,1.3567,0.7391,1.48587,0.000981952,0.000981952,0.000981952
81,1101.7,1.31025,0.86785,1.41414,0.93027,0.59217,0.62709,0.3831,1.34784,0.76453,1.4918,0.000976293,0.000976293,0.000976293
82,1114.73,1.31107,0.84684,1.39966,0.93295,0.58278,0.74987,0.47984,1.3977,0.82053,1.49739,0.000970634,0.000970634,0.000970634
83,1128.12,1.34574,0.86587,1.42821,0.94865,0.57567,0.65339,0.41259,1.3335,0.74534,1.49403,0.000964975,0.000964975,0.000964975
84,1146.3,1.2858,0.82989,1.37759,0.93569,0.59357,0.66298,0.42302,1.33198,0.72438,1.47627,0.000959316,0.000959316,0.000959316
85,1162.14,1.29834,0.84564,1.40562,0.95042,0.58288,0.62388,0.38537,1.37294,0.75419,1.5179,0.000953657,0.000953657,0.000953657
86,1177.91,1.28186,0.83402,1.39216,0.91631,0.55208,0.63103,0.4012,1.32628,0.86876,1.4475,0.000947999,0.000947999,0.000947999
87,1193.9,1.2727,0.81543,1.37129,0.93101,0.60234,0.62813,0.39576,1.33852,0.72177,1.48326,0.00094234,0.00094234,0.00094234
88,1209.65,1.26439,0.82187,1.37352,0.93938,0.58885,0.62592,0.39626,1.3318,0.71955,1.48806,0.000936681,0.000936681,0.000936681
89,1225.42,1.26859,0.79901,1.36496,0.93665,0.58356,0.63932,0.38517,1.43046,0.76937,1.5401,0.000931022,0.000931022,0.000931022
90,1241.31,1.26519,0.8176,1.38762,0.9368,0.59896,0.63599,0.40298,1.31576,0.71428,1.44366,0.000925363,0.000925363,0.000925363
91,1256.76,1.24767,0.8093,1.36415,0.94131,0.58977,0.62666,0.38806,1.39498,0.74303,1.51572,0.000919704,0.000919704,0.000919704
92,1272.65,1.26052,0.82649,1.3666,0.93742,0.58454,0.63547,0.39665,1.41884,0.78027,1.50763,0.000914046,0.000914046,0.000914046
93,1290.04,1.24817,0.79921,1.35646,0.92682,0.58721,0.62534,0.40195,1.30754,0.74512,1.43864,0.000908387,0.000908387,0.000908387
94,1305.56,1.24695,0.81396,1.35472,0.93926,0.58477,0.62564,0.39718,1.30849,0.72894,1.44494,0.000902728,0.000902728,0.000902728
95,1321.23,1.23088,0.80209,1.35318,0.94864,0.58872,0.6295,0.39518,1.29812,0.71876,1.43442,0.000897069,0.000897069,0.000897069
96,1335.01,1.24059,0.80679,1.35414,0.93877,0.58849,0.65448,0.4215,1.30532,0.72338,1.44638,0.00089141,0.00089141,0.00089141
