epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,451.194,1.49195,1.04407,1.53924,0.86208,0.73749,0.84079,0.47068,1.58205,1.10358,1.69654,0.00139635,0.00139635,0.00139635
43,461.748,1.56238,1.15552,1.51822,0.87709,0.81689,0.87908,0.49985,1.4995,0.97704,1.60134,0.00138974,0.00138974,0.00138974
44,472.286,1.5052,1.07385,1.52903,0.81411,0.72388,0.81974,0.46878,1.54928,1.06635,1.61493,0.00138314,0.00138314,0.00138314
45,483.154,1.51757,1.0981,1.54767,0.85659,0.77867,0.86216,0.49706,1.50619,0.97683,1.60871,0.00137654,0.00137654,0.00137654
46,493.881,1.50897,1.10469,1.55864,0.87787,0.77213,0.8492,0.49844,1.51249,0.98938,1.61621,0.00136994,0.00136994,0.00136994
47,504.559,1.49975,1.04207,1.53372,0.84175,0.7488,0.82766,0.46844,1.54137,1.06809,1.6239,0.00136334,0.00136334,0.00136334
48,515.217,1.49371,1.08477,1.54334,0.86185,0.80848,0.87695,0.51246,1.50729,0.94712,1.6074,0.00135674,0.00135674,0.00135674
49,525.784,1.51974,1.22239,1.57998,0.85481,0.75878,0.833,0.45396,1.58475,1.08921,1.64041,0.00135014,0.00135014,0.00135014
50,536.296,1.46947,1.07085,1.53996,0.88862,0.82401,0.88618,0.51704,1.47093,0.90325,1.56958,0.00134354,0.00134354,0.00134354
51,546.827,1.4438,1.01951,1.51972,0.89394,0.81453,0.88696,0.50735,1.52284,0.94299,1.61769,0.00133693,0.00133693,0.00133693
52,557.362,1.41245,1.00411,1.43159,0.86927,0.81736,0.88762,0.49884,1.56273,0.96905,1.63513,0.00133033,0.00133033,0.00133033
53,567.908,1.50698,1.09248,1.54218,0.90385,0.81713,0.89979,0.51687,1.54342,0.93001,1.6197,0.00132373,0.00132373,0.00132373
54,578.562,1.46784,1.00049,1.49525,0.88634,0.83034,0.89095,0.52702,1.44153,0.92328,1.56143,0.00131713,0.00131713,0.00131713
55,589.118,1.44939,0.99434,1.50531,0.88843,0.814,0.88751,0.52034,1.5363,0.88534,1.61887,0.00131053,0.00131053,0.00131053
56,599.725,1.46987,1.01797,1.50004,0.8651,0.81953,0.8865,0.51757,1.49514,0.88206,1.59169,0.00130393,0.00130393,0.00130393
57,610.256,1.41028,1.01192,1.49157,0.85399,0.82767,0.892,0.50367,1.5252,0.91863,1.64621,0.00129733,0.00129733,0.00129733
58,620.9,1.40831,1.02282,1.47521,0.79389,0.77757,0.826,0.46844,1.52209,1.12954,1.61205,0.00129072,0.00129072,0.00129072
59,631.501,1.38898,0.92598,1.44801,0.91578,0.82844,0.90069,0.52176,1.53167,0.86864,1.60057,0.00128412,0.00128412,0.00128412
60,642.096,1.43421,0.96717,1.48737,0.92603,0.79306,0.89764,0.49764,1.61913,0.94569,1.67588,0.00127752,0.00127752,0.00127752
61,652.631,1.32661,0.92544,1.37796,0.88589,0.80915,0.88829,0.50152,1.59138,0.91013,1.61192,0.00127092,0.00127092,0.00127092
62,663.158,1.37471,0.95824,1.4518,0.8599,0.80981,0.88593,0.48858,1.64782,0.97665,1.66314,0.00126432,0.00126432,0.00126432
63,673.736,1.46155,1.09457,1.5033,0.91983,0.83847,0.92095,0.55583,1.39893,0.78228,1.50328,0.00125772,0.00125772,0.00125772
64,684.259,1.41572,0.93988,1.47552,0.91882,0.82106,0.90892,0.5443,1.44047,0.83828,1.52377,0.00125112,0.00125112,0.00125112
65,694.746,1.37672,0.9341,1.44698,0.84354,0.8343,0.86257,0.47636,1.60454,0.9284,1.63819,0.00124452,0.00124452,0.00124452
66,705.302,1.42472,0.95399,1.43851,0.92308,0.84259,0.91041,0.54437,1.45987,0.87802,1.51998,0.00123791,0.00123791,0.00123791
67,715.844,1.45641,0.98575,1.45102,0.92158,0.83849,0.91294,0.54074,1.48185,0.83513,1.55904,0.00123131,0.00123131,0.00123131
68,726.421,1.37517,0.91545,1.40604,0.83994,0.74903,0.81837,0.47151,1.50054,1.12626,1.56563,0.00122471,0.00122471,0.00122471
69,736.952,1.40749,1.01629,1.42376,0.87983,0.83647,0.89615,0.51291,1.55071,0.87107,1.60126,0.00121811,0.00121811,0.00121811
70,747.499,1.39344,0.89734,1.43756,0.86916,0.83879,0.8929,0.54341,1.38385,0.85348,1.49486,0.00121151,0.00121151,0.00121151
71,758.03,1.39844,0.91274,1.44931,0.8861,0.85919,0.91612,0.5565,1.41652,0.8145,1.52393,0.00120491,0.00120491,0.00120491
72,768.549,1.36241,0.92257,1.41226,0.88555,0.83321,0.89869,0.55725,1.36813,0.84876,1.48111,0.00119831,0.00119831,0.00119831
73,779.017,1.34978,0.87547,1.40165,0.91743,0.85126,0.91687,0.55953,1.39989,0.80191,1.47936,0.0011917,0.0011917,0.0011917
74,789.736,1.38241,0.92123,1.43433,0.87931,0.85098,0.9085,0.51983,1.55891,0.84336,1.60296,0.0011851,0.0011851,0.0011851
75,800.394,1.29786,0.86816,1.3416,0.89904,0.8312,0.89938,0.52767,1.49948,0.86691,1.55003,0.0011785,0.0011785,0.0011785
76,810.907,1.32952,0.89133,1.4048,0.90174,0.85937,0.91811,0.56311,1.42178,0.81036,1.50793,0.0011719,0.0011719,0.0011719
77,821.47,1.41135,0.88814,1.44758,0.88555,0.79501,0.87456,0.48854,1.637,0.96697,1.65723,0.0011653,0.0011653,0.0011653
78,831.955,1.41199,0.90977,1.44012,0.84192,0.81443,0.87138,0.52962,1.40473,0.99814,1.51627,0.0011587,0.0011587,0.0011587
79,842.479,1.33861,0.8697,1.39019,0.88788,0.8325,0.90308,0.55156,1.4136,0.88225,1.49059,0.0011521,0.0011521,0.0011521
80,853.041,1.42079,1.02272,1.38933,0.92823,0.85969,0.92568,0.57515,1.35136,0.73754,1.45301,0.0011455,0.0011455,0.0011455
81,863.635,1.3644,0.87422,1.39346,0.89977,0.82269,0.9113,0.57097,1.34187,0.88108,1.43126,0.00113889,0.00113889,0.00113889
82,874.144,1.32312,0.86261,1.40111,0.907,0.87274,0.92628,0.5869,1.36127,0.73305,1.45484,0.00113229,0.00113229,0.00113229
83,884.684,1.30546,0.84512,1.3719,0.89634,0.88537,0.92744,0.5827,1.3701,0.73703,1.46655,0.00112569,0.00112569,0.00112569
84,895.233,1.35478,0.89868,1.3829,0.93279,0.86643,0.93328,0.58142,1.37847,0.73902,1.47859,0.00111909,0.00111909,0.00111909
85,905.759,1.36682,0.98767,1.3634,0.90159,0.83766,0.91936,0.57394,1.33756,0.8615,1.45487,0.00111249,0.00111249,0.00111249
86,916.3,1.30106,0.83517,1.38289,0.91155,0.85615,0.91043,0.55441,1.46753,0.76791,1.54217,0.00110589,0.00110589,0.00110589
87,926.84,1.37044,0.83771,1.41478,0.90696,0.84236,0.92129,0.57061,1.40715,0.87755,1.47473,0.00109929,0.00109929,0.00109929
88,937.398,1.34959,0.85369,1.36345,0.93314,0.85609,0.93107,0.58829,1.34264,0.71563,1.45322,0.00109269,0.00109269,0.00109269
89,947.951,1.30044,0.82506,1.3769,0.90879,0.86013,0.92312,0.57965,1.3814,0.77885,1.46142,0.00108608,0.00108608,0.00108608
90,958.495,1.29762,0.81122,1.33903,0.9348,0.84357,0.92636,0.58521,1.37576,0.73821,1.46067,0.00107948,0.00107948,0.00107948
91,969.029,1.29609,0.82972,1.36207,0.9048,0.88481,0.93771,0.58826,1.36461,0.72785,1.44768,0.00107288,0.00107288,0.00107288
92,979.552,1.29727,0.80067,1.34394,0.90584,0.82795,0.91286,0.57148,1.35512,0.76038,1.43978,0.00106628,0.00106628,0.00106628
93,990.059,1.35672,0.84869,1.37629,0.90503,0.87796,0.91698,0.56366,1.41344,0.74103,1.49362,0.00105968,0.00105968,0.00105968
94,1000.69,1.26955,0.80445,1.31888,0.91021,0.87335,0.93002,0.58653,1.33761,0.74107,1.42906,0.00105308,0.00105308,0.00105308
95,1011.15,1.33744,0.81797,1.38137,0.90918,0.87827,0.92359,0.58734,1.33593,0.70651,1.42379,0.00104648,0.00104648,0.00104648
96,1021.66,1.27301,0.82794,1.34463,0.89151,0.86025,0.90996,0.58135,1.32341,0.78144,1.42332,0.00103987,0.00103987,0.00103987
97,1032.11,1.31742,0.83912,1.40586,0.9179,0.85803,0.92698,0.59198,1.30886,0.71989,1.42929,0.00103327,0.00103327,0.00103327
98,1042.07,1.29175,0.80108,1.36299,0.91899,0.90206,0.9438,0.6056,1.31012,0.68657,1.42187,0.00102667,0.00102667,0.00102667
99,1052.61,1.19159,0.9334,1.2714,0.92422,0.85664,0.92731,0.59064,1.33642,0.71304,1.41481,0.00102007,0.00102007,0.00102007
100,1062.99,1.2624,0.79776,1.35067,0.90986,0.86994,0.9227,0.59887,1.28806,0.72812,1.38772,0.00101347,0.00101347,0.00101347
101,1073.5,1.29733,0.79727,1.36176,0.91227,0.86234,0.91213,0.58494,1.32201,0.74827,1.45835,0.00100687,0.00100687,0.00100687
102,1083.97,1.18108,0.88712,1.26776,0.91892,0.87959,0.9242,0.59524,1.30003,0.71565,1.39991,0.00100027,0.00100027,0.00100027
103,1094.84,1.24293,0.77587,1.32791,0.9307,0.87314,0.93525,0.58697,1.3592,0.73185,1.45126,0.000993665,0.000993665,0.000993665
104,1105.44,1.3056,0.84714,1.39172,0.92889,0.86952,0.93534,0.58595,1.32543,0.70653,1.43767,0.000987064,0.000987064,0.000987064
105,1115.95,1.18001,0.83734,1.25569,0.87792,0.87255,0.91821,0.57989,1.34504,0.78157,1.43603,0.000980463,0.000980463,0.000980463
106,1126.5,1.23203,0.80109,1.32396,0.91035,0.88051,0.93455,0.61166,1.24791,0.68476,1.38329,0.000973861,0.000973861,0.000973861
107,1137.04,1.22271,0.77329,1.31028,0.90498,0.869,0.92881,0.59946,1.34099,0.72042,1.4209,0.00096726,0.00096726,0.00096726
108,1147.58,1.256,0.85033,1.32278,0.92548,0.87613,0.93912,0.57781,1.38617,0.71253,1.44995,0.000960659,0.000960659,0.000960659
109,1158.09,1.24799,0.75955,1.3515,0.93105,0.89098,0.94089,0.61018,1.26988,0.66959,1.38603,0.000954057,0.000954057,0.000954057
110,1168.7,1.21932,0.74376,1.29914,0.91895,0.86096,0.92759,0.58265,1.42272,0.73779,1.47984,0.000947456,0.000947456,0.000947456
111,1179.38,1.19797,0.85123,1.30607,0.91942,0.88729,0.93863,0.61492,1.28787,0.68692,1.39953,0.000940855,0.000940855,0.000940855
112,1189.95,1.24085,0.80458,1.32502,0.93249,0.86575,0.94044,0.61576,1.28568,0.70123,1.41259,0.000934253,0.000934253,0.000934253
113,1200.47,1.18842,0.7814,1.31049,0.91805,0.86768,0.92922,0.6174,1.2853,0.69138,1.39713,0.000927652,0.000927652,0.000927652
114,1211,1.21678,0.75229,1.30917,0.92894,0.87194,0.93849,0.61837,1.29722,0.68074,1.39627,0.000921051,0.000921051,0.000921051
115,1221.53,1.14623,0.75154,1.23866,0.92691,0.86952,0.92755,0.5901,1.35762,0.70917,1.44731,0.00091445,0.00091445,0.00091445
116,1232.04,1.13247,0.74861,1.22711,0.9332,0.88417,0.94128,0.60908,1.33108,0.70109,1.41812,0.000907848,0.000907848,0.000907848
117,1242.58,1.27275,0.84161,1.3686,0.93596,0.87358,0.93655,0.59764,1.33179,0.67498,1.42346,0.000901247,0.000901247,0.000901247
