epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9382,3.89908,6.05546,4.22084,0.0003,0.03863,0.00022,9e-05,3.89658,4.48916,4.15349,0.00025722,0.00025722,0.00025722
2,24.4284,3.6214,5.61612,3.98656,0.00022,0.04087,0.00015,6e-05,3.87122,4.47845,4.12911,0.000526636,0.000526636,0.000526636
3,34.7736,2.99957,4.84471,3.3751,0.00027,0.05867,0.00018,6e-05,3.84991,4.5107,3.97422,0.000793902,0.000793902,0.000793902
4,44.9736,2.66724,3.89019,2.87849,0.00032,0.05979,0.00234,0.0007,3.35291,4.52341,3.37398,0.00105902,0.00105902,0.00105902
5,55.2229,2.48443,3.21316,2.64558,0.00034,0.06475,0.00039,0.00011,3.25164,4.57292,3.67791,0.00132198,0.00132198,0.00132198
6,65.5452,2.35931,2.70988,2.45808,0.00128,0.27207,0.00492,0.00145,2.94295,3.8987,3.29599,0.00140071,0.00140071,0.00140071
7,75.7225,2.20055,2.34137,2.32341,0.44495,0.04629,0.03164,0.00846,2.63201,3.38841,2.78867,0.00139505,0.00139505,0.00139505
8,85.9157,2.11539,2.15699,2.20331,0.50673,0.19545,0.17205,0.07446,2.16717,2.93947,2.40829,0.00138939,0.00138939,0.00138939
9,96.0488,2.04322,1.99012,2.14842,0.71597,0.24476,0.28863,0.11275,2.12352,2.19563,2.28659,0.00138373,0.00138373,0.00138373
10,106.388,1.99561,1.86966,2.10171,0.67636,0.28646,0.29333,0.10756,2.18453,2.01255,2.32158,0.00137807,0.00137807,0.00137807
11,116.55,1.93634,1.7531,2.01873,0.80247,0.38679,0.45483,0.20905,1.8777,1.60261,2.05619,0.00137241,0.00137241,0.00137241
12,126.736,1.86043,1.67744,1.95776,0.83857,0.40226,0.44977,0.19677,1.93595,1.66458,2.1101,0.00136675,0.00136675,0.00136675
13,136.958,1.8776,1.63152,1.93722,0.8366,0.43708,0.46854,0.20533,2.00684,1.51692,2.15334,0.00136109,0.00136109,0.00136109
14,148.623,1.8228,1.54597,1.88147,0.87519,0.43896,0.51441,0.23312,1.88896,1.3797,1.97843,0.00135544,0.00135544,0.00135544
15,162.136,1.80081,1.50182,1.84737,0.87165,0.45021,0.51838,0.24135,1.79326,1.48212,1.97743,0.00134978,0.00134978,0.00134978
16,175.443,1.79271,1.48979,1.8489,0.89232,0.46809,0.5367,0.2603,1.81151,1.28553,1.88912,0.00134412,0.00134412,0.00134412
17,186.159,1.77389,1.48309,1.83704,0.87238,0.48866,0.53851,0.26149,1.76337,1.24414,1.86505,0.00133846,0.00133846,0.00133846
18,196.843,1.73993,1.40467,1.78755,0.86575,0.43079,0.49059,0.2577,1.75253,1.56761,1.93066,0.0013328,0.0013328,0.0013328
19,207.502,1.73434,1.38317,1.78485,0.87545,0.48754,0.53837,0.25284,1.77674,1.29558,1.91149,0.00132714,0.00132714,0.00132714
20,218.142,1.7138,1.3503,1.77758,0.88587,0.51647,0.56295,0.28952,1.68994,1.13383,1.82852,0.00132148,0.00132148,0.00132148
21,228.787,1.69877,1.32051,1.74035,0.87527,0.4712,0.52295,0.24065,1.93769,1.24961,2.05895,0.00131582,0.00131582,0.00131582
22,239.43,1.67428,1.27513,1.72902,0.8821,0.50262,0.54657,0.27887,1.66713,1.27302,1.75221,0.00131016,0.00131016,0.00131016
23,250.116,1.66091,1.28364,1.70601,0.90008,0.52008,0.62844,0.31286,1.63035,1.07126,1.7546,0.00130451,0.00130451,0.00130451
24,260.821,1.64857,1.22759,1.69532,0.93195,0.49105,0.57006,0.29057,1.68878,1.11343,1.77418,0.00129885,0.00129885,0.00129885
25,271.496,1.63493,1.26031,1.68844,0.90477,0.49331,0.58146,0.29929,1.64512,1.20631,1.78016,0.00129319,0.00129319,0.00129319
26,282.423,1.65844,1.26073,1.71511,0.924,0.53674,0.5875,0.31954,1.61146,1.03304,1.77224,0.00128753,0.00128753,0.00128753
27,294.145,1.64476,1.21775,1.68411,0.87131,0.5111,0.54419,0.28519,1.76107,1.14876,1.83425,0.00128187,0.00128187,0.00128187
28,304.742,1.60804,1.18781,1.65512,0.92309,0.49463,0.56448,0.28975,1.69056,1.10483,1.79104,0.00127621,0.00127621,0.00127621
29,315.675,1.60089,1.15506,1.66069,0.91052,0.52094,0.579,0.31678,1.6011,1.07602,1.69923,0.00127055,0.00127055,0.00127055
30,326.465,1.60346,1.18049,1.64077,0.92559,0.5228,0.5826,0.32084,1.5972,1.02786,1.72078,0.00126489,0.00126489,0.00126489
31,337.133,1.58751,1.15503,1.61878,0.9055,0.5566,0.59892,0.33252,1.57616,0.94914,1.67992,0.00125923,0.00125923,0.00125923
32,347.912,1.57995,1.12744,1.62633,0.90894,0.53148,0.57741,0.31371,1.58555,1.05157,1.69683,0.00125358,0.00125358,0.00125358
33,358.659,1.57087,1.1079,1.63217,0.94104,0.53167,0.59231,0.3246,1.55678,0.95247,1.70033,0.00124792,0.00124792,0.00124792
34,369.42,1.56887,1.12129,1.60896,0.9315,0.54277,0.59541,0.30638,1.71193,0.98766,1.78632,0.00124226,0.00124226,0.00124226
35,380.247,1.5595,1.08926,1.59791,0.93251,0.54635,0.59161,0.31738,1.62996,1.00299,1.7462,0.0012366,0.0012366,0.0012366
