epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,711.467,1.49958,1.01918,1.56785,0.91848,0.58195,0.60098,0.34761,1.48778,0.90289,1.6121,0.00119699,0.00119699,0.00119699
43,730.231,1.48656,1.01367,1.56434,0.91786,0.56846,0.59974,0.33092,1.5145,0.90866,1.6215,0.00119133,0.00119133,0.00119133
44,744.129,1.49326,1.00955,1.56184,0.92479,0.55595,0.59801,0.34006,1.47849,0.91783,1.60469,0.00118567,0.00118567,0.00118567
45,754.769,1.46648,0.99067,1.52089,0.9354,0.57791,0.61456,0.36305,1.44359,0.84589,1.5573,0.00118001,0.00118001,0.00118001
46,765.266,1.44352,0.97271,1.53101,0.95235,0.55885,0.61154,0.33527,1.58105,0.88783,1.6399,0.00117435,0.00117435,0.00117435
47,775.841,1.4685,0.98252,1.54766,0.95798,0.55698,0.61616,0.32923,1.62697,0.88005,1.6964,0.00116869,0.00116869,0.00116869
48,786.401,1.46,0.96443,1.52021,0.92362,0.56857,0.597,0.33859,1.5087,0.85743,1.59947,0.00116303,0.00116303,0.00116303
49,797.128,1.45905,0.96902,1.53425,0.94923,0.56936,0.61289,0.35605,1.4413,0.86642,1.56641,0.00115738,0.00115738,0.00115738
50,807.814,1.47341,0.97906,1.53597,0.94023,0.55153,0.6062,0.31771,1.69356,0.9211,1.74584,0.00115172,0.00115172,0.00115172
51,818.456,1.42603,0.9285,1.4936,0.94715,0.57983,0.61932,0.37174,1.45852,0.79824,1.56877,0.00114606,0.00114606,0.00114606
52,829.132,1.44457,0.9554,1.50326,0.93178,0.57119,0.60793,0.35736,1.43572,0.82457,1.55184,0.0011404,0.0011404,0.0011404
53,839.762,1.4381,0.95823,1.50995,0.944,0.54868,0.61337,0.3413,1.50516,0.88912,1.60248,0.00113474,0.00113474,0.00113474
54,850.413,1.41763,0.94453,1.48413,0.94321,0.56544,0.64396,0.38656,1.42304,0.82494,1.53638,0.00112908,0.00112908,0.00112908
55,861.717,1.41057,0.91603,1.48425,0.94099,0.58656,0.61747,0.3637,1.43054,0.81136,1.54984,0.00112342,0.00112342,0.00112342
56,875.16,1.422,0.9343,1.48969,0.94342,0.54273,0.60295,0.34426,1.53422,0.87727,1.5966,0.00111776,0.00111776,0.00111776
57,890.255,1.41724,0.93526,1.49521,0.92953,0.57017,0.61055,0.35885,1.40802,0.81722,1.52427,0.0011121,0.0011121,0.0011121
58,905.875,1.40143,0.91265,1.47093,0.93915,0.58277,0.62062,0.37589,1.40958,0.79259,1.5139,0.00110645,0.00110645,0.00110645
59,921.361,1.445,0.92996,1.49956,0.93453,0.56011,0.61015,0.34691,1.45486,0.83148,1.53919,0.00110079,0.00110079,0.00110079
60,936.76,1.39459,0.89059,1.48323,0.95366,0.57579,0.6242,0.36671,1.40688,0.78368,1.54341,0.00109513,0.00109513,0.00109513
61,952.006,1.40125,0.89635,1.46244,0.94707,0.59348,0.61876,0.36777,1.43862,0.7614,1.55314,0.00108947,0.00108947,0.00108947
62,967.48,1.39589,0.92014,1.48271,0.92766,0.57405,0.61894,0.36876,1.42414,0.79726,1.53911,0.00108381,0.00108381,0.00108381
63,982.82,1.4062,0.90308,1.47448,0.92965,0.57058,0.6178,0.33562,1.56226,0.84865,1.62762,0.00107815,0.00107815,0.00107815
64,1008.98,1.36288,0.87868,1.44341,0.93658,0.58177,0.62539,0.36322,1.44645,0.81288,1.53854,0.00107249,0.00107249,0.00107249
65,1027.57,1.38442,0.89339,1.44889,0.93318,0.58673,0.63674,0.37952,1.39433,0.80988,1.51101,0.00106683,0.00106683,0.00106683
66,1042.72,1.35726,0.88541,1.45208,0.95252,0.59663,0.62464,0.37067,1.4141,0.77834,1.50257,0.00106118,0.00106118,0.00106118
67,1058.13,1.37924,0.86417,1.44853,0.95606,0.57755,0.62131,0.37309,1.41372,0.77886,1.52119,0.00105552,0.00105552,0.00105552
68,1073.46,1.37811,0.88345,1.44692,0.94712,0.57166,0.61797,0.36463,1.44131,0.81938,1.53146,0.00104986,0.00104986,0.00104986
69,1089.04,1.38129,0.8699,1.44533,0.93994,0.5897,0.62477,0.3801,1.40942,0.76765,1.50762,0.0010442,0.0010442,0.0010442
70,1104.55,1.36571,0.8799,1.45001,0.94298,0.57375,0.62128,0.35877,1.4943,0.79074,1.56637,0.00103854,0.00103854,0.00103854
71,1120.17,1.35199,0.86697,1.44511,0.94376,0.56982,0.61863,0.37906,1.41395,0.799,1.50247,0.00103288,0.00103288,0.00103288
72,1135.41,1.34854,0.84694,1.42864,0.96185,0.58087,0.62918,0.36846,1.47817,0.7849,1.55294,0.00102722,0.00102722,0.00102722
73,1151.08,1.35159,0.86684,1.4511,0.95223,0.58432,0.6251,0.3772,1.37374,0.7502,1.49569,0.00102156,0.00102156,0.00102156
74,1166.05,1.34565,0.85732,1.41975,0.95013,0.59038,0.62364,0.38093,1.40698,0.75723,1.51147,0.0010159,0.0010159,0.0010159
