epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.982,2.49818,5.32076,2.3029,0.91167,0.78698,0.89161,0.48227,1.4271,1.36848,1.25308,0.000662835,0.000662835,0.000662835
2,591.756,1.19803,1.25853,1.14362,0.77093,0.79461,0.88142,0.53152,1.14946,1.09007,1.10372,0.00119788,0.00119788,0.00119788
3,841.212,1.08255,0.94324,1.06555,0.9156,0.94917,0.96449,0.61119,1.04975,0.86453,1.01894,0.00160093,0.00160093,0.00160093
4,1028.92,1.02222,0.88296,1.02908,0.92975,0.93753,0.96337,0.63735,0.91976,0.86645,0.97327,0.001406,0.001406,0.001406
5,1164.37,0.96439,0.86597,1.0007,0.92851,0.93572,0.96036,0.64196,0.89918,0.84572,0.95914,0.001208,0.001208,0.001208
6,1299.04,0.92373,0.85617,0.98215,0.91695,0.91979,0.96157,0.64312,0.88858,0.84006,0.95481,0.00101,0.00101,0.00101
7,1425.87,0.90469,0.8438,0.97214,0.91929,0.93108,0.95784,0.65124,0.8207,0.85143,0.92919,0.000812,0.000812,0.000812
8,1552.78,0.88437,0.83861,0.9613,0.90538,0.92366,0.95641,0.65766,0.83604,0.82745,0.93616,0.000614,0.000614,0.000614
9,1680.01,0.86063,0.80293,0.95577,0.93774,0.94659,0.98278,0.71193,0.81342,0.76637,0.93113,0.000416,0.000416,0.000416
10,1808.49,0.83628,0.75037,0.94372,0.95017,0.96343,0.98745,0.73388,0.777,0.71523,0.91156,0.000218,0.000218,0.000218
