epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,348.065,1.87379,1.93266,1.70868,0.60249,0.24692,0.26378,0.12859,1.78772,1.73816,1.69366,0.000761415,0.000761415,0.000761415
43,356.711,1.84687,1.90783,1.70195,0.5177,0.27086,0.28615,0.13916,1.73007,1.70539,1.64868,0.000757815,0.000757815,0.000757815
44,365.299,1.85815,1.86341,1.68935,0.53199,0.25385,0.25471,0.13023,1.72431,1.66374,1.65431,0.000754215,0.000754215,0.000754215
45,373.857,1.84491,1.87587,1.67831,0.49583,0.31171,0.28174,0.13686,1.6771,1.66027,1.58785,0.000750616,0.000750616,0.000750616
46,382.563,1.87547,1.86229,1.69307,0.7641,0.23476,0.2923,0.14912,1.7197,1.62949,1.62872,0.000747016,0.000747016,0.000747016
47,391.367,1.82398,1.75612,1.63727,0.55343,0.27933,0.29998,0.1483,1.64679,1.58009,1.5887,0.000743417,0.000743417,0.000743417
48,400.051,1.78407,1.7739,1.62059,0.57519,0.29975,0.28312,0.13125,1.72955,1.74813,1.63607,0.000739817,0.000739817,0.000739817
49,408.661,1.78167,1.75335,1.61586,0.76341,0.2598,0.30278,0.14443,1.73496,1.62868,1.62552,0.000736217,0.000736217,0.000736217
50,417.32,1.78424,1.72783,1.63438,0.82814,0.2669,0.33067,0.16267,1.67312,1.5382,1.58375,0.000732618,0.000732618,0.000732618
51,426.011,1.76855,1.74329,1.60998,0.82373,0.27338,0.3242,0.15943,1.64813,1.56105,1.58079,0.000729018,0.000729018,0.000729018
52,434.904,1.74503,1.70149,1.61172,0.68141,0.31152,0.33329,0.15852,1.65438,1.56982,1.55069,0.000725418,0.000725418,0.000725418
53,443.675,1.75719,1.71372,1.59301,0.69272,0.29536,0.35325,0.17256,1.70641,1.52264,1.58281,0.000721819,0.000721819,0.000721819
54,452.562,1.73933,1.67708,1.57828,0.61761,0.34044,0.35895,0.17935,1.59208,1.4337,1.51169,0.000718219,0.000718219,0.000718219
55,461.416,1.74537,1.67137,1.56968,0.80781,0.26726,0.33055,0.15775,1.67233,1.59742,1.56375,0.000714619,0.000714619,0.000714619
56,470.131,1.71043,1.63026,1.56124,0.6177,0.31139,0.3381,0.16714,1.60876,1.46479,1.52691,0.00071102,0.00071102,0.00071102
57,478.704,1.723,1.61156,1.5584,0.76079,0.3311,0.36409,0.17927,1.62468,1.47428,1.52364,0.00070742,0.00070742,0.00070742
58,487.243,1.71202,1.58453,1.57225,0.79476,0.33031,0.37057,0.17778,1.63904,1.45171,1.53707,0.000703821,0.000703821,0.000703821
59,496.088,1.67814,1.58218,1.53099,0.79355,0.32998,0.35865,0.18124,1.62544,1.44238,1.54611,0.000700221,0.000700221,0.000700221
60,504.692,1.66491,1.54048,1.51184,0.57724,0.31415,0.32784,0.17138,1.63483,1.51401,1.51912,0.000696621,0.000696621,0.000696621
61,513.394,1.67458,1.55276,1.50528,0.63712,0.33341,0.38661,0.19028,1.6236,1.40446,1.50108,0.000693022,0.000693022,0.000693022
62,522.223,1.64307,1.53581,1.52821,0.71628,0.32682,0.37694,0.19975,1.56395,1.35366,1.48942,0.000689422,0.000689422,0.000689422
63,531.099,1.66653,1.57192,1.53744,0.83273,0.30539,0.37681,0.20129,1.57641,1.38082,1.49025,0.000685822,0.000685822,0.000685822
64,540.068,1.65908,1.54437,1.52136,0.74463,0.31425,0.37999,0.19863,1.53132,1.33138,1.46462,0.000682223,0.000682223,0.000682223
65,549.032,1.6437,1.49345,1.49727,0.63633,0.3325,0.39909,0.2054,1.5262,1.31077,1.44806,0.000678623,0.000678623,0.000678623
66,557.621,1.64368,1.51993,1.5094,0.64405,0.28605,0.34953,0.19109,1.56283,1.43398,1.47926,0.000675023,0.000675023,0.000675023
67,566.183,1.62533,1.50504,1.48745,0.58748,0.34991,0.40175,0.21245,1.57186,1.4254,1.48601,0.000671424,0.000671424,0.000671424
68,574.668,1.60608,1.4605,1.46767,0.76223,0.35901,0.41207,0.2142,1.5904,1.33461,1.48042,0.000667824,0.000667824,0.000667824
69,583.242,1.58759,1.46111,1.47614,0.81423,0.32024,0.39863,0.21254,1.53163,1.30233,1.45085,0.000664224,0.000664224,0.000664224
70,591.829,1.62619,1.47724,1.50073,0.70578,0.34927,0.41645,0.2203,1.52053,1.31886,1.4449,0.000660625,0.000660625,0.000660625
71,600.399,1.56992,1.41432,1.4459,0.74034,0.35482,0.40931,0.22694,1.52714,1.32753,1.44283,0.000657025,0.000657025,0.000657025
72,608.054,1.55891,1.39899,1.44249,0.65912,0.36904,0.41921,0.22703,1.54116,1.30104,1.44447,0.000653426,0.000653426,0.000653426
73,614.914,1.57562,1.42643,1.45382,0.48096,0.37266,0.40769,0.21821,1.50037,1.29412,1.41113,0.000649826,0.000649826,0.000649826
74,621.713,1.58163,1.42838,1.45051,0.75555,0.38283,0.42364,0.21965,1.53153,1.34604,1.4473,0.000646226,0.000646226,0.000646226
75,628.519,1.57676,1.45043,1.46799,0.77189,0.37697,0.4368,0.23518,1.52063,1.28384,1.42618,0.000642627,0.000642627,0.000642627
76,635.599,1.56971,1.37708,1.4305,0.81123,0.37961,0.43509,0.22933,1.51812,1.27975,1.4279,0.000639027,0.000639027,0.000639027
77,643.718,1.56038,1.40146,1.43737,0.65973,0.39096,0.44501,0.23679,1.48278,1.2577,1.41747,0.000635427,0.000635427,0.000635427
